Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-26T00:00:00.000000,9231.0,5107,4120,7569.0,948.0,2232.0,9443503.0,6111778.0,3658784.0,1919655.0,1986730.0,1290562.0,3990887.0,2575401.0,3278.0,14224.0,8413282.0,13464.0,145976.35016709543
2021-01-27T00:00:00.000000,9810.0,5394,4416,8294.0,1000.0,2269.0,9431263.0,5914611.0,3656347.0,1908239.0,1918435.0,1198990.0,4036688.0,2564496.0,3337.0,13145.0,7444394.0,13700.0,164401.53248302586
2021-01-28T00:00:00.000000,9553.0,5256,4297,7858.0,1003.0,2211.0,9488368.0,6057320.0,3674974.0,1907525.0,2092053.0,1395664.0,3904808.0,2464938.0,3287.0,12689.0,6812209.0,13993.0,173532.9101072011
2021-01-29T00:00:00.000000,9000.0,4906,4094,7201.0,886.0,2118.0,8797495.0,5586787.0,3556539.0,1863724.0,1729242.0,1111694.0,3837444.0,2483807.0,3098.0,13728.0,6245081.0,12614.0,162270.18239012317
2021-01-30T00:00:00.000000,5674.0,3183,2491,4616.0,543.0,1412.0,5973006.0,3923700.0,2187635.0,1090199.0,1167154.0,782640.0,2750515.0,1832770.0,2093.0,6752.0,3904271.0,8206.0,102061.19879879676
2021-01-31T00:00:00.000000,5725.0,3166,2559,4609.0,510.0,1450.0,5843298.0,3852151.0,2224794.0,1145708.0,1039531.0,694222.0,2670926.0,1743591.0,2126.0,7356.0,4925991.0,7742.0,110383.29710043976
2021-02-01T00:00:00.000000,8358.0,4697,3661,7078.0,878.0,2029.0,8524492.0,5462762.0,2956581.0,1487986.0,1762156.0,1114788.0,3766776.0,2460568.0,2958.0,11461.0,6203892.0,12337.0,135973.62970741998
2021-02-02T00:00:00.000000,9099.0,5158,3939,7569.0,973.0,2208.0,9217019.0,5891112.0,3261658.0,1694786.0,1893946.0,1202029.0,3846215.0,2442858.0,3212.0,11794.0,7196798.0,13031.0,151455.46321167325
2021-02-03T00:00:00.000000,9575.0,5391,4182,7952.0,996.0,2354.0,9773551.0,6266025.0,3530021.0,1784678.0,2043912.0,1336337.0,4185648.0,2653197.0,3334.0,12028.0,7501950.0,13471.0,173004.29105039733
2021-02-04T00:00:00.000000,9345.0,5206,4139,7783.0,959.0,2208.0,9404440.0,6003283.0,3572653.0,1836472.0,1845336.0,1183793.0,4037277.0,2556013.0,3143.0,11412.0,6539435.0,12938.0,156943.79610434044
2021-02-05T00:00:00.000000,8643.0,4753,3888,7256.0,833.0,2097.0,8759981.0,5654595.0,3353847.0,1747523.0,1776937.0,1164210.0,3929492.0,2584397.0,3098.0,11295.0,6470666.0,11930.0,147299.13561281835
2021-02-06T00:00:00.000000,5467.0,3091,2376,4489.0,540.0,1418.0,5513869.0,3502128.0,2208040.0,1176373.0,1084174.0,706593.0,2578121.0,1674922.0,2110.0,8254.0,4222978.0,7624.0,93277.24660697838
